scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,machine
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,5,4,0.8,1,0.2,13690.2,14655.0,-88.0,24793.0,19116.6,15690.0,13448.0,25537.0,-1788.4,-2489.0,-3556.0,0.0,20905.0,18179.0,15459.0,28346.0,15478.6,17144.0,0.0,27602.0,044
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,9,2,0.2222222222222222,7,0.7777777777777778,-1632.888888888889,-5333.0,-11375.0,17107.0,6474.777777777777,5345.0,0.0,20083.0,-8754.666666666666,-7911.0,-12622.0,-5689.0,15229.444444444445,13407.0,11022.0,25955.0,7121.777777777777,3289.0,0.0,22979.0,044
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,1,1,1.0,0,0.0,19091.0,19091.0,19091.0,19091.0,25537.0,25537.0,25537.0,25537.0,0.0,0.0,0.0,0.0,25537.0,25537.0,25537.0,25537.0,19091.0,19091.0,19091.0,19091.0,044
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,8,1,0.125,7,0.875,-3561.125,-6133.0,-11375.0,17107.0,5366.0,4741.5,0.0,20083.0,-9137.875,-9377.5,-12622.0,-5872.0,14503.875,12828.0,11022.0,25955.0,5576.75,2133.5,0.0,22979.0,044
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,4,3,0.75,1,0.25,4554.25,5517.5,-1956.0,9138.0,11185.25,12758.5,5431.0,13793.0,-2400.0,-2489.0,-4089.0,-533.0,13585.25,13825.0,9520.0,17171.0,6954.25,7473.0,2133.0,10738.0,044
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,4,0,0.0,4,1.0,-10088.25,-9661.0,-14809.0,-6222.0,216.75,88.5,0.0,690.0,-15281.75,-14390.5,-22213.0,-10133.0,15498.5,14479.0,10823.0,22213.0,5193.5,5053.5,0.0,10667.0,044
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,3,3,1.0,0,0.0,11971.0,8793.0,4310.0,22810.0,14320.333333333334,14138.0,5517.0,23306.0,-3780.0,-3467.0,-4851.0,-3022.0,18100.333333333332,17160.0,8984.0,28157.0,15751.0,11815.0,7777.0,27661.0,045
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,4,4,1.0,0,0.0,6087.0,4008.5,1921.0,14410.0,7909.5,5819.0,3755.0,16245.0,-9140.25,-8991.5,-13156.0,-5422.0,17049.75,17047.5,11543.0,22561.0,15227.25,16130.5,7922.0,20726.0,045
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,7,6,0.8571428571428571,1,0.14285714285714285,9263.142857142857,8793.0,-4267.0,24359.0,15725.142857142857,14138.0,6638.0,30000.0,-2694.5714285714284,-3022.0,-4851.0,0.0,18419.714285714286,16068.0,9660.0,30000.0,11957.714285714286,11815.0,0.0,27661.0,045
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,6,5,0.8333333333333334,1,0.16666666666666666,4225.166666666667,4008.5,-6756.0,14410.0,7715.5,5819.0,862.0,16245.0,-8612.0,-7958.0,-13156.0,-5422.0,16327.5,17047.5,10462.0,22561.0,12837.166666666666,13429.0,2844.0,20726.0,045
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,4,3,0.75,1,0.25,5939.0,1832.0,-4267.0,24359.0,15356.25,12393.5,6638.0,30000.0,-1991.75,-1850.0,-4267.0,0.0,17348.0,14866.0,9660.0,30000.0,7930.75,3682.0,0.0,24359.0,045
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,4,3,0.75,1,0.25,2255.0,4008.5,-6756.0,7759.0,6573.25,5819.0,862.0,13793.0,-8422.25,-7555.5,-13156.0,-5422.0,14995.5,15108.0,10462.0,19304.0,10677.25,10596.0,2844.0,18673.0,045
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,2,2,1.0,0,0.0,10776.0,10776.0,9483.0,12069.0,14137.5,14137.5,13103.0,15172.0,-3111.5,-3111.5,-4267.0,-1956.0,17249.0,17249.0,15059.0,19439.0,13887.5,13887.5,11439.0,16336.0,045
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,4,0,0.0,4,1.0,-12641.0,-11358.5,-21447.0,-6400.0,669.0,734.5,0.0,1207.0,-16267.5,-15233.5,-21447.0,-13156.0,16936.5,15968.0,14363.0,21447.0,3626.5,2719.5,0.0,9067.0,045
